Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90
1,Brenden Aaronson,us USA,MFFW,MF,Leeds United,eng Premier League,24,2000,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.15,0.18,0.33,0.15,0.33
2,Jerome Abbey,eng ENG,MF,MF,Wolves,eng Premier League,15,2009,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Zach Abbott,eng ENG,DF,DF,Nottingham,eng Premier League,19,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Jones El-Abdellaoui,ma MAR,MFFW,MF,Celta Vigo,es La Liga,19,2006,22,4,681,7.6,2,0,2,2,0,0,0,0,0.26,0,0.26,0.26,0.26
5,Himad Abdelli,dz ALG,MF,MF,Marseille,fr Ligue 1,25,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Himad Abdelli,dz ALG,MF,MF,Angers,fr Ligue 1,25,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.19,0,0.19,0,0
7,Ali Abdi,tn TUN,MFDF,MF,Nice,fr Ligue 1,31,1993,22,13,1187,13.2,3,0,3,3,0,0,4,1,0.23,0,0.23,0.23,0.23
8,Salis Abdul Samed,gh GHA,MF,MF,Nice,fr Ligue 1,25,2000,18,12,911,10.1,0,0,0,0,0,0,3,0,0,0,0,0,0
9,Saud Abdulhamid,sa KSA,MF,MF,Lens,fr Ligue 1,26,1999,25,14,1352,15,2,4,6,2,0,0,4,1,0.13,0.27,0.4,0.13,0.4
10,Tay Abed,il ISR,MF,MF,Levante,es La Liga,21,2004,7,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Laurent Abergel,fr FRA,MF,MF,Lorient,fr Ligue 1,32,1993,28,27,2318,25.8,1,0,1,1,0,0,7,0,0.04,0,0.04,0.04,0.04
12,Matthis Abline,fr FRA,FWMF,FW,Nantes,fr Ligue 1,22,2003,32,27,2494,27.7,6,4,10,6,0,1,6,0,0.22,0.14,0.36,0.22,0.36
13,Abner,br BRA,DFMF,DF,Lyon,fr Ligue 1,25,2000,26,25,2150,23.9,3,2,5,3,0,0,4,1,0.13,0.08,0.21,0.13,0.21
